"Report.Submission.Source","Incident.City","Date.of.Incident","Hazardous.Class","Total.Hazmat.Fatalities","Total.Hazmat.Hosp.Injuries","Total.Hazmat.NonHosp.Injuries","Total.Amount.of.Damages","Origin.State","Mode.of.Transportation","HMIS.Serious.Injury","HMIS.Serious.Incident.Ind","year","month"
"Paper","WEST VALLEY CITY",1994-12-03,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,370,"MISSOURI","Highway","No","No",1994,12
"Paper","OGDEN",1990-10-08,"CORROSIVE MATERIAL",0,0,1,3250,"ILLINOIS","Highway","No","No",1990,10
"Paper","SALT LAKE CITY",2009-09-16,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"COLORADO","Highway","No","No",2009,9
"XML","N Salt Lake",2014-05-15,"CORROSIVE MATERIAL",0,0,0,0,"WISCONSIN","Highway","No","No",2014,5
"Paper","SALT LAKE",2004-02-27,"POISONOUS MATERIALS",0,0,0,100,NA,"Highway","No","No",2004,2
"Paper","WEST VALLEY CITY",1994-07-20,"NONFLAMMABLE COMPRESSED GAS",0,0,0,520,"IOWA","Highway","No","No",1994,7
"Paper","WEST VALLEY CITY",2004-02-24,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,200,"CALIFORNIA","Highway","No","No",2004,2
"Paper","WOODS CROSS",1990-03-08,"COMBUSTIBLE LIQUID",0,0,0,70,"UTAH","Highway","No","No",1990,3
"Paper","SALT LAKE CITY",2000-11-20,"CORROSIVE MATERIAL",0,0,0,150,"UTAH","Highway","No","No",2000,11
"Paper","SALT LAKE CITY",2002-02-25,"POISONOUS MATERIALS",0,0,0,150,"CALIFORNIA","Highway","No","No",2002,2
"Paper","WEST VALLEY CITY",1994-05-27,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,365,"TEXAS","Highway","No","No",1994,5
"Web","SALT LAKE CITY",2009-04-16,"CORROSIVE MATERIAL",0,0,0,2500,"CALIFORNIA","Highway","No","No",2009,4
"Web","SALT LAKE CITY",2013-09-09,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"INDIANA","Highway","No","No",2013,9
"Paper","SALT LAKE CY",1974-02-27,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"MONTANA","Air","No","No",1974,2
"Paper","SALT LAKE CY",1977-06-07,"CORROSIVE MATERIAL",0,0,0,0,"PENNSYLVANIA","Highway","No","No",1977,6
"Paper","WEST VALLEY",2001-09-09,"POISONOUS MATERIALS",0,0,0,355,"TENNESSEE","Highway","No","No",2001,9
"Paper","WEST VALLEY CITY",2005-01-03,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"ILLINOIS","Highway","No","No",2005,1
"Paper","SALT LAKE CITY",2008-03-16,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Highway","No","No",2008,3
"Paper","SALT LAKE CITY",2014-09-04,"CORROSIVE MATERIAL",0,0,0,0,"UTAH","Highway","No","No",2014,9
"Paper","SALT LAKE CITY",2007-08-21,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",2007,8
"Paper","NORTH SALT LAKE",2002-10-21,"OXIDIZER",0,0,0,610,NA,"Highway","No","No",2002,10
"Paper","SALT LAKE CY",1977-01-21,"CORROSIVE MATERIAL",0,0,0,0,"WISCONSIN","Highway","No","No",1977,1
"Web","SALT LAKE CITY",2012-10-30,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"NEW YORK","Highway","No","No",2012,10
"Paper","SALT LAKE CITY",2012-08-20,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",2012,8
"Paper","CLIVE",1994-04-07,"MISCELLANEOUS HAZARDOUS MATERIAL",0,0,0,500,"ILLINOIS","Highway","No","No",1994,4
"Paper","SALT LAKE CITY",1972-06-21,"POISONOUS MATERIALS",0,0,0,0,"COLORADO","Highway","No","No",1972,6
"Paper","SALT LAKE CY",1980-03-01,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"TEXAS","Highway","No","No",1980,3
"Paper","SALT LAKE CY",1977-07-02,"CORROSIVE MATERIAL",0,0,0,0,"ILLINOIS","Highway","No","No",1977,7
"Paper","WEST VALLEY CITY",1998-04-28,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,453,"WEST VIRGINIA","Highway","No","No",1998,4
"XML","Nsl",2008-10-06,"CORROSIVE MATERIAL",0,0,0,0,"WISCONSIN","Highway","No","No",2008,10
"Paper","SALT LAKE CITY",2007-08-03,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Highway","No","No",2007,8
"Paper","SALT LAKE CITY",1996-02-13,"CORROSIVE MATERIAL",0,0,0,0,"WYOMING","Rail","No","No",1996,2
"XML","Nsl",2008-10-06,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",2008,10
"Web","SALT LAKE CITY",2005-02-24,"CORROSIVE MATERIAL",0,0,0,0,"MISSOURI","Highway","No","No",2005,2
"Paper","SALT LAKE CITY",1995-08-25,"CORROSIVE MATERIAL",0,0,0,102,"PENNSYLVANIA","Highway","No","No",1995,8
"Web","SALT LAKE CITY",2013-10-07,"CORROSIVE MATERIAL",0,0,0,0,"COLORADO","Highway","No","No",2013,10
"Paper","GREEN RIVER",1972-01-08,"FLAMMABLE GAS",1,0,0,0,"MONTANA","Highway","No","No",1972,1
"Paper","D C D",1972-08-14,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1972,8
"Paper","WEST VALLEY CITY",2007-03-21,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"ARIZONA","Highway","No","No",2007,3
"Paper","NORTH SALT LAKE",2001-11-06,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,525,"PENNSYLVANIA","Highway","No","No",2001,11
"Paper","VERNAL",1989-05-05,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"COLORADO","Highway","No","No",1989,5
"Web","SALT LAKE CITY",2011-08-05,"CORROSIVE MATERIAL",0,0,0,0,"COLORADO","Highway","No","No",2011,8
"Paper","SALT LAKE CY",1975-07-14,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Highway","No","No",1975,7
"Paper","SALT LAKE",1999-06-26,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Rail","No","No",1999,6
"Paper","SALT LAKE CITY",1997-08-25,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,150,"NEVADA","Highway","No","No",1997,8
"Paper","SALT LAKE CITY",1981-07-13,"CORROSIVE MATERIAL",0,0,0,0,"ILLINOIS","Highway","No","No",1981,7
"Paper","SALT LAKE CITY",1996-05-22,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,150,"WYOMING","Highway","No","No",1996,5
"Paper","SALT LAKE CITY",2007-10-15,"MISCELLANEOUS HAZARDOUS MATERIAL",0,0,0,1500,"WASHINGTON","Highway","No","No",2007,10
"Paper","SALT LAKE CITY",2013-09-12,"CORROSIVE MATERIAL",0,0,0,4300,"IOWA","Highway","No","Yes",2013,9
"Paper","NORTH SALT LAKE",2000-07-06,"FLAMMABLE SOLID",0,0,0,125,"CALIFORNIA","Highway","No","No",2000,7
"Paper","SALT LAKE CITY",2005-02-02,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"WISCONSIN","Highway","No","No",2005,2
"Paper","SALT LAKE CITY",2003-06-30,"POISONOUS MATERIALS",0,0,0,500,"CALIFORNIA","Highway","No","No",2003,6
"Paper","WEST VALLEY CITY",1996-08-02,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,395,"MASSACHUSETTS","Highway","No","No",1996,8
"Paper","OGDEN",2009-11-02,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",2009,11
"Paper","SALT LAKE CITY",1999-12-29,"CORROSIVE MATERIAL",0,0,0,100,"COLORADO","Highway","No","No",1999,12
"Paper","SALT LAKE CITY",2006-07-20,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Highway","No","No",2006,7
"Paper","OREM",1999-04-02,"POISONOUS MATERIALS",0,0,0,2800,"WISCONSIN","Highway","No","No",1999,4
"Paper","OGDEN",1996-07-19,"CORROSIVE MATERIAL",0,0,0,0,"OREGON","Rail","No","No",1996,7
"Paper","WEST VALLEY CITY",1995-03-25,"POISONOUS MATERIALS",0,0,0,460,"IDAHO","Highway","No","No",1995,3
"Paper","SALT LAKE CITY",1997-10-27,"CORROSIVE MATERIAL",0,0,0,150,"MINNESOTA","Highway","No","No",1997,10
"Paper","WEST VALLEY CITY",2003-08-22,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,200,"CALIFORNIA","Highway","No","No",2003,8
"Paper","SALT LAKE CITY",2014-01-02,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"COLORADO","Highway","No","No",2014,1
"Web","SALT LAKE CITY",2007-01-07,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",2007,1
"Paper","SALT LAKE CITY",1999-05-05,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,150,"WISCONSIN","Highway","No","No",1999,5
"Paper","SALT LAKE CITY",1994-12-13,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,125,"ILLINOIS","Highway","No","No",1994,12
"Paper","EMORY",2003-09-14,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,2900,"FLORIDA","Highway","No","No",2003,9
"Web","SALT LAKE CITY",2011-04-22,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"ILLINOIS","Highway","No","No",2011,4
"Paper","SALT LAKE CY",1980-03-31,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"PENNSYLVANIA","Highway","No","No",1980,3
"Paper","LAKEPOINT",1978-10-23,"COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1978,10
"Paper","SALT LAKE CITY",1993-08-05,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,100,"MINNESOTA","Highway","No","No",1993,8
"Paper","SALT LAKE CY",1980-08-01,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"MISSOURI","Highway","No","No",1980,8
"Paper","SALT LAKE CITY",1993-08-31,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,270,"UTAH","Highway","No","No",1993,8
"Paper","SALT LAKE",1992-08-15,"COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Rail","No","No",1992,8
"XML","N Salt Lake",2013-12-30,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Highway","No","No",2013,12
"Paper","SALT LAKE CITY",2007-10-06,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",2007,10
"Paper","SALT LAKE CITY",2001-01-05,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,150,"COLORADO","Highway","No","No",2001,1
"Paper","OGDEN",1998-11-18,"FLAMMABLE GAS",0,0,0,0,"WYOMING","Rail","No","No",1998,11
"Paper","SALT LAKE CITY",1983-12-26,"POISONOUS MATERIALS",0,0,0,0,"NEW JERSEY","Highway","No","No",1983,12
"XML","N SALT LAKE",2010-09-16,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"TENNESSEE","Highway","No","No",2010,9
"Paper","SALT LAKE CITY",1994-12-22,"CORROSIVE MATERIAL",0,0,0,80,"WISCONSIN","Highway","No","No",1994,12
"Paper","SALT LAKE CITY",1995-07-11,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,160,"ARIZONA","Highway","No","No",1995,7
"XML","N SALT LAKE",2010-09-07,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"COLORADO","Highway","No","No",2010,9
"Paper","SALT LAKE CITY",2006-04-26,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"COLORADO","Highway","No","No",2006,4
"Paper","MOAB",1986-09-10,"OXIDIZER",0,0,0,0,"UTAH","Highway","No","Yes",1986,9
"Paper","SALT LAKE CITY",1984-05-09,"CORROSIVE MATERIAL",0,0,0,0,"UTAH","Rail","No","No",1984,5
"Paper","SALT LAKE CITY",2011-08-05,"MISCELLANEOUS HAZARDOUS MATERIAL",0,0,0,0,"UTAH","Air","No","No",2011,8
"Paper","OGDEN",1997-09-30,"CORROSIVE MATERIAL",0,0,0,0,"WYOMING","Rail","No","No",1997,9
"Paper","LAKE POINT",1995-08-29,"MISCELLANEOUS HAZARDOUS MATERIAL",0,0,0,0,"PENNSYLVANIA","Highway","No","No",1995,8
"Paper","SALT LAKE CITY",1971-11-22,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"TEXAS","Highway","No","No",1971,11
"Paper","SALT LAKE",1994-10-21,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,310,"OHIO","Highway","No","No",1994,10
"Paper","SALT LAKE CY",1977-11-14,"RADIOACTIVE MATERIAL",0,0,0,0,"TENNESSEE","Highway","No","No",1977,11
"Paper","WEST VALLEY",2005-05-13,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Highway","No","No",2005,5
"Paper","SALT LAKE CITY",2007-02-09,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Highway","No","No",2007,2
"Paper","SALT LAKE CITY",1998-03-10,"CORROSIVE MATERIAL",0,0,0,300,"COLORADO","Highway","No","No",1998,3
"Paper","WEST VALLEY CITY",2001-09-03,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,500,"INDIANA","Highway","No","No",2001,9
"Paper","OREM",1997-08-28,"CORROSIVE MATERIAL",0,0,0,125,"CALIFORNIA","Highway","No","No",1997,8
"Paper","NORTH SALT LAKE",1999-08-09,"INFECTIOUS SUBSTANCE (ETIOLOGIC)",0,0,0,0,"CALIFORNIA","Highway","No","No",1999,8
"Paper","SALT LAKE CITY",1981-09-06,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"NEW JERSEY","Highway","No","No",1981,9
"XML","NORTH SALT LAKE",2007-07-30,"CORROSIVE MATERIAL",0,0,0,0,"DELAWARE","Highway","No","No",2007,7
"Paper","SALT LAKE CITY",1994-05-09,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,25,"OHIO","Highway","No","No",1994,5
"Paper","SALT LAKE CITY",2010-01-21,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"VIRGINIA","Highway","No","No",2010,1
"Paper","ST GEORGE",1973-03-01,"CORROSIVE MATERIAL",0,0,0,0,"NEVADA","Highway","No","No",1973,3
"Paper","CANNONVILLE",1974-01-25,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1974,1
"Paper","LINDON",1995-12-02,"COMBUSTIBLE LIQUID",0,0,0,7809,"NORTH CAROLINA","Highway","No","No",1995,12
"Web","WEST VALLEY",2014-05-14,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"MISSOURI","Highway","No","No",2014,5
"Paper","SALT LAKE CY",1979-08-21,"POISONOUS MATERIALS",0,0,0,0,"CALIFORNIA","Highway","No","No",1979,8
"Paper","WOODS CROSS",1984-08-28,"COMBUSTIBLE LIQUID",0,0,0,0,"NEVADA","Highway","No","Yes",1984,8
"Paper","WEST VALLEY CITY",2010-10-29,"COMBUSTIBLE LIQUID",0,0,0,0,"NEW JERSEY","Highway","No","No",2010,10
"Paper","SALT LAKE CITY",2001-02-26,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,150,"COLORADO","Highway","No","No",2001,2
"Paper","WEST VALLEY CITY",2006-05-24,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"ARIZONA","Highway","No","No",2006,5
"Paper","SALT LAKE",2007-02-11,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"WEST VIRGINIA","Highway","No","No",2007,2
"Paper","SALT LAKE CY",1980-06-09,"POISONOUS MATERIALS",0,0,0,0,"CALIFORNIA","Highway","No","No",1980,6
"Paper","SALT LAKE CITY",2008-08-26,"CORROSIVE MATERIAL",0,0,0,0,"UTAH","Highway","No","No",2008,8
"Paper","SALT LAKE CITY",2001-09-20,"CORROSIVE MATERIAL",0,0,0,0,"MISSOURI","Highway","No","No",2001,9
"Paper","SALT LAKE CY",1976-01-29,"NONFLAMMABLE COMPRESSED GAS",0,0,0,0,"NEW YORK","Highway","No","No",1976,1
"Web","SALT LAKE CITY",2012-06-22,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"ILLINOIS","Highway","No","No",2012,6
"Paper","ALTAMOUNT",1973-03-23,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1973,3
"Paper","SALT LAKE CITY",1988-06-09,"FLAMMABLE GAS",0,0,0,0,"CALIFORNIA","Air","No","No",1988,6
"Paper","SALT LAKE CITY",2004-07-17,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"MICHIGAN","Highway","No","No",2004,7
"Paper","SALT LAKE CY",1980-04-23,"CORROSIVE MATERIAL",0,0,0,0,"PENNSYLVANIA","Highway","No","No",1980,4
"Paper","SALT LAKE CITY",2000-09-29,"CORROSIVE MATERIAL",0,0,0,420,"ILLINOIS","Highway","No","No",2000,9
"Paper","CEDAR CITY",1989-09-08,"CORROSIVE MATERIAL",0,0,0,0,"NEVADA","Highway","No","No",1989,9
"Paper","NORTH SALT LAKE",2001-10-03,"POISONOUS MATERIALS",0,0,0,525,"UTAH","Highway","No","No",2001,10
"Paper","SALT LAKE CITY",2012-07-05,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"COLORADO","Highway","No","No",2012,7
"Paper","WOODRUFF",1984-10-27,"COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","Yes",1984,10
"Paper","SALT LAKE CITY",1994-05-12,"CORROSIVE MATERIAL",0,0,0,78,"GEORGIA","Highway","No","No",1994,5
"XML","N SALT LAKE",2009-08-10,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",2009,8
"Paper","SALT LAKE CY",1977-02-18,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"WISCONSIN","Highway","No","No",1977,2
"Paper","DUCHESNE",1979-01-28,"COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","Yes",1979,1
"Paper","SALT LAKE CITY",1997-07-05,"CORROSIVE MATERIAL",0,0,0,125,"CALIFORNIA","Highway","No","No",1997,7
"Paper","WEST VALLEY CITY",2001-11-12,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,440,"TEXAS","Highway","No","No",2001,11
"Paper","SALT LAKE CY",1978-10-29,"CORROSIVE MATERIAL",0,0,0,0,"WISCONSIN","Highway","No","No",1978,10
"Paper","SALT LAKE CITY",2006-03-30,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"MARYLAND","Highway","No","No",2006,3
"Paper","SALT LAKE CITY",2006-06-02,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",2006,6
"Paper","SALT LAKE CITY",1995-12-27,"CORROSIVE MATERIAL",0,0,0,125,"ILLINOIS","Highway","No","No",1995,12
"Paper","NORTH SALT LAKE",1999-08-02,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,125,"ILLINOIS","Highway","No","No",1999,8
"XML","N SALT LAKE",2010-07-05,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",2010,7
"Paper","SALT LAKE",1999-03-15,"CORROSIVE MATERIAL",0,0,0,0,"WYOMING","Rail","No","No",1999,3
"Paper","NORTH SALT LAKE",2000-03-23,"CORROSIVE MATERIAL",0,0,0,125,"KENTUCKY","Highway","No","No",2000,3
"Paper","SALT LAKE CITY",2013-07-05,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"LOUISIANA","Air","No","No",2013,7
"Paper","SALT LAKE CY",1978-03-07,"CORROSIVE MATERIAL",0,0,0,0,"NEW JERSEY","Highway","No","No",1978,3
"Paper","WEST VALLEY CITY",2001-10-31,"CORROSIVE MATERIAL",0,0,0,1025,"OHIO","Highway","No","No",2001,10
"Paper","SALT LAKE CY",1980-02-02,"POISONOUS MATERIALS",0,0,0,0,"CALIFORNIA","Highway","No","No",1980,2
"Paper","SALT LAKE CITY",1995-10-28,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,150,"GEORGIA","Highway","No","No",1995,10
"Web","SALT LAKE CITY",2008-08-31,"CORROSIVE MATERIAL",0,0,0,2000,"KANSAS","Highway","No","No",2008,8
"XML","Salt Lake City",2011-09-02,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"MICHIGAN","Highway","No","No",2011,9
"Paper","WEST VALLEY",2005-07-06,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",2005,7
"Paper","ANETH",2004-04-26,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,35000,"NEW MEXICO","Highway","No","Yes",2004,4
"Paper","NORTH SALT LAKE",2001-09-19,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,525,"MASSACHUSETTS","Highway","No","No",2001,9
"Paper","SALT LAKE CITY",1989-04-14,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"COLORADO","Highway","No","No",1989,4
"Paper","SALT LAKE CITY",1998-02-10,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,185,"NEW YORK","Highway","No","No",1998,2
"Web","SALT LAKE CITY",2012-10-18,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"OHIO","Highway","No","No",2012,10
"Paper","SALT LAKE CITY",1987-06-04,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",1987,6
"Paper","ECHO",1995-07-19,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,1550,"FLORIDA","Highway","No","No",1995,7
"Paper","SALT LAKE CITY",2002-04-09,"CORROSIVE MATERIAL",0,0,0,300,"CALIFORNIA","Highway","No","No",2002,4
"Web","SALT LAKE CITY",2012-01-20,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"VIRGINIA","Highway","No","No",2012,1
"Paper","WEST VALLEY CITY",2003-09-04,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,1000,"WISCONSIN","Highway","No","No",2003,9
"Paper","WEST VALLEY",2000-02-03,"FLAMMABLE GAS",0,0,0,3012,"PENNSYLVANIA","Highway","No","No",2000,2
"XML","NORTH SALT LAKE",2007-11-07,"CORROSIVE MATERIAL",0,0,0,0,"MISSOURI","Highway","No","No",2007,11
"Paper","NORTH SALT LAKE",2005-04-25,"CORROSIVE MATERIAL",0,0,0,0,"COLORADO","Highway","No","No",2005,4
"Paper","SALT LAKE CITY",2007-04-18,"COMBUSTIBLE LIQUID",0,0,0,0,"WASHINGTON","Highway","No","No",2007,4
"Web","SALT LAKE CITY",2012-08-09,"CORROSIVE MATERIAL",0,0,0,0,"NEW YORK","Highway","No","No",2012,8
"XML","N SALT LAKE",2010-08-02,"NONFLAMMABLE COMPRESSED GAS",0,0,0,0,"CALIFORNIA","Highway","No","No",2010,8
"XML","Nsl",2008-10-03,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",2008,10
"Paper","HEBER",1998-12-31,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,88539,"UTAH","Highway","No","Yes",1998,12
"Paper","SALT LAKE CITY",2000-07-11,"OXIDIZER",0,0,0,0,"COLORADO","Highway","No","No",2000,7
"Paper","SALT LAKE CITY",1996-09-30,"POISONOUS MATERIALS",0,0,0,165,"MICHIGAN","Highway","No","No",1996,9
"Paper","OGDEN",1994-02-14,"CORROSIVE MATERIAL",0,0,0,625,"SOUTH CAROLINA","Highway","No","No",1994,2
"Web","SALT LAKE CITY",2012-07-25,"CORROSIVE MATERIAL",0,0,0,2000,"TEXAS","Highway","No","No",2012,7
"Web","SALT LAKE CITY",2012-02-03,"POISONOUS GAS",0,0,0,1500,"PENNSYLVANIA","Highway","No","No",2012,2
"Paper","SALT LAKE CITY",1988-04-18,"CORROSIVE MATERIAL",0,0,0,0,"ILLINOIS","Highway","No","No",1988,4
"Paper","SALT LAKE CY",1977-01-07,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,NA,"Highway","No","Yes",1977,1
"Paper","ALTONAH",1974-04-04,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1974,4
"Paper","CLEARFIELD",1986-08-07,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"TEXAS","Highway","No","No",1986,8
"XML","N Salt Lake",2013-12-09,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"PENNSYLVANIA","Highway","No","No",2013,12
"Paper","SALT LAKE",1981-01-21,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"ILLINOIS","Highway","No","No",1981,1
"Paper","PARLEY",1993-05-09,"POISONOUS MATERIALS",0,0,0,4100,"TENNESSEE","Highway","No","No",1993,5
"Paper","SALT LAKE CY",1975-03-05,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"TEXAS","Highway","No","No",1975,3
"Paper","SALT LAKE CITY",1995-04-04,"ORGANIC PEROXIDE",0,0,0,85,"ILLINOIS","Highway","No","No",1995,4
"Paper","SALT LAKE CY",1975-07-14,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"MINNESOTA","Highway","No","No",1975,7
"Paper","SALT LAKE CITY",2012-09-06,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"NEVADA","Highway","No","No",2012,9
"Paper","SALT LAKE CITY",1981-01-09,"CORROSIVE MATERIAL",0,0,0,0,"WISCONSIN","Highway","No","No",1981,1
"Paper","SALT LAKE CITY",2006-04-14,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,1200,NA,"Highway","No","No",2006,4
"Paper","SALT LAKE CY",1979-09-26,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"OREGON","Highway","No","No",1979,9
"Paper","WEST VALLEY",2007-01-12,"MISCELLANEOUS HAZARDOUS MATERIAL",0,0,0,0,"UTAH","Air","No","No",2007,1
"Paper","MANTI",1976-12-01,"COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1976,12
"Paper","SALT LAKE CY",1980-04-06,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"LOUISIANA","Highway","No","No",1980,4
"Paper","TREMONTON",1979-10-19,"COMBUSTIBLE LIQUID",0,0,0,0,"IDAHO","Highway","No","Yes",1979,10
"Paper","WEST VALLEY CITY",2004-06-07,"CORROSIVE MATERIAL",0,0,0,355,"SOUTH CAROLINA","Highway","No","No",2004,6
"Paper","OGDEN",1993-05-19,"FLAMMABLE GAS",0,0,0,0,"UTAH","Rail","No","No",1993,5
"Paper","WEST VALLEY CITY",1999-06-20,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,388,"CALIFORNIA","Highway","No","No",1999,6
"Paper","NORTH SALT LAKE",1999-10-13,"CORROSIVE MATERIAL",0,0,0,125,"OHIO","Highway","No","No",1999,10
"Paper","SALT LAKE CITY",2006-01-16,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"COLORADO","Highway","No","No",2006,1
