"name_org","city","state","formation_yr","exempt_status.501c3","gross_receipts","voting_memb_ct","income_tot_unrelated","fundraise_expense_tot_curyr","asset_tot_beginyr","rev_giftsgrants_tot_curyr","rev_investmt_curyr","rev_prgmservice_curyr","rev_tot_curyr","grants_expense_tot_curyr","benefits_expense_tot_curyr","salaries_expense_tot_curyr","expense_tot_curyr","rev_less_expense_curyr","asset_tot_endyr","liability_tot_endyr","asset_net_endyr","delegate_management","memb_elect_board","conflict_interest_policy","enforce_conflict_policy","whistleblower_policy"
"UNITED ASSOCIATION OF JOURNEYMEN & APPRENTICES OF THE US & CANADA 350 TRUST","SPARKS","NV",1982,"",1401893,10,0,0,1146596,1347615,2,50055,1401893,0,66365,489293,815838,586055,1732868,2731,1730137,"no","no","no","","no"
"HARNESS RACING MUSEUM AND HALL OF FAME","GOSHEN","NY",1951,"true",2773348,25,0,100629,6741040,1137276,391126,134097,1715334,0,0,709449,1142139,573195,7432445,27930,7404515,"no","yes","yes","yes","yes"
"SMART START YOUTH AND FAMILY SERVIC","LAKELAND","FL",2005,"true",721357,2,0,0,137204,0,0,721357,721357,0,0,0,699554,21803,146783,3995,142788,"no","no","yes","no","no"
"COLUMBIA HEIGHTS ATHLETIC BOOSTERS CLUB","COLUMBIA HEIGHTS","MN",1967,"",1172965,8,2179,0,63461,2610,0,0,12029,48228,0,0,7833,4196,66889,18809,48080,"no","no","no","","no"
"THE COUNTRY CLUB OF FAIRFAX INC","FAIRFAX","VA",1947,"",8719999,9,592721,0,24347524,0,133,5595661,7458833,0,0,4571651,8306763,-847930,23284452,14680174,8604278,"no","yes","yes","yes","no"
"AMERICAN NEPHROLOGY NURSES ASSOCIATION","PITMAN","NJ",1969,"",14447299,8,268957,0,16836618,0,1396999,2690118,4087117,0,0,76175,2950084,1137033,17390762,1501643,15889119,"yes","yes","yes","yes","yes"
"PROFESSIONAL REGISTERED NURSES","BAY CITY","MI",1982,"",288377,450,0,0,126657,288115,262,0,288377,750,0,0,255477,32900,159557,0,159557,"no","yes","no","","no"
"VOA TEXAS APPLE TREEDALGREEN COMMU HOMES INC (APPLE TREE/ DALGREEN)","EULESS","TX",2003,"true",95491,5,0,0,523710,0,45,95446,95491,0,0,13089,71134,24357,520861,31701,489160,"yes","yes","yes","yes","no"
"Joint Council Of Teamsters No 3 Health and Welfare Fund","Arvada","CO",1956,"",5487290,4,0,0,5839597,0,107200,5262966,5487290,0,4629769,0,5118257,369033,6353509,630972,5722537,"no","no","yes","yes","yes"
"SKY FOREST MUTUAL WATER CO","SKY FOREST","CA",1934,"",203626,5,0,0,272483,0,111,203515,203626,0,0,44218,130114,73512,345995,0,345995,"no","yes","no","","no"
"NATCHEZ KREWE OF PHOENIX INC","NATCHEZ","MS",1983,"",80969,10,0,0,113605,42535,86,0,80969,0,0,0,73547,7422,115468,45917,69551,"no","yes","no","","no"
"501F Users Group Inc","Woodstock","GA",2014,"",274553,6,0,0,362538,0,0,274553,274553,0,0,0,257397,17156,378814,0,378814,"no","no","no","","no"
"EYE TO EYE INC","NEW YORK","NY",2000,"true",2347916,12,0,431010,3585285,2346863,1053,0,2347916,0,0,1705230,2776402,-428486,3160370,42715,3117655,"no","no","yes","yes","yes"
"VOICES FOR KIDS CASA PROGRAM OF SOUTHEAST VIRGINIA","Smithfield","VA",2008,"true",213673,7,0,0,63111,192726,60,0,209118,0,0,113573,183835,25283,88394,0,88394,"no","no","yes","yes","yes"
"MARQUETTE DELTA CORPORATION","HARTLAND","WI",1975,"",123679,4,0,0,957588,0,0,0,-229,0,0,0,1044,-1273,938902,30651,908251,"no","no","no","","no"
"Campground Ministry of the Church of God","Rosemount","MN",1977,"true",111002,9,0,0,734675,19745,14,45060,111002,0,0,0,72701,38301,765778,102939,662839,"no","no","no","","no"
"SOUTH SALEM FIRE DEPARTMENT INC","SOUTH SALEM","NY",1932,"true",236883,7,0,0,2390230,2715,95037,0,164691,730,879,0,56175,108516,2637662,0,2637662,"no","no","no","","no"
"MARYLAND MOTORCOACH ASSOCIATION INC","ALEXANDRIA","VA",1983,"",119146,11,0,0,512058,0,1383,117763,119146,0,0,0,115078,4068,515655,600,515055,"no","yes","no","","no"
"WARWICK CENTER FOR THE ARTS INC","WARWICK","RI",1976,"true",81921,11,11,0,181402,32721,11,49189,81921,0,0,22639,74368,7553,188955,0,188955,"no","no","yes","yes","no"
"MANISTEE LODGE NO 250 OF THE BENE- VOLENT AND PROTECTIVE ORDER OF ELKS","MANISTEE","MI",1893,"",239786,14,0,0,91935,66351,188,17998,163278,0,0,63949,161835,1443,91057,39459,51598,"no","no","no","","no"
"HOME DEVELOPMENT INC C/O HOME INC","NEW HAVEN","CT",1987,"true",297031,3,0,0,6471027,0,3430,293601,297031,0,0,0,829060,-532029,6234785,8525492,-2290707,"no","yes","yes","yes","no"
"MOUNTAINLANDS COMMUNITY HOUSING ASSOCIATION","PARK CITY","UT",1993,"true",3202179,11,0,19273,7748193,1147830,31099,1123360,2309135,82527,0,845935,1965330,343805,13905476,8679647,5225829,"yes","no","yes","yes","yes"
"OPERATION BLESSING INTERNATIONAL RELIEF AND DEVELOPMENT CORPORATION","Virginia Beach","VA",1986,"true",276551027,8,0,3278015,120425983,276217670,90186,0,276331394,253101533,0,9167044,272605727,3725667,31974163,20750684,11223479,"no","no","yes","yes","yes"
"VICTORVILLE LODGE NO 1877 BPOE","VICTORVILLE","CA",1953,"",140736,3,0,0,996390,0,9709,131027,140736,0,0,11584,159253,-18517,988336,440050,548286,"no","no","yes","yes","yes"
"Childrens Choirs of Southwest Missouri","Springfield","MO",NA,"true",80,3,0,0,30033,0,80,0,80,1200,0,0,4637,-4557,0,0,0,"no","no","no","no","no"
"UNIVERSITY OF LOUISIANA AT MONROE ALUMNI ASSOCIATION","MONROE","LA",1953,"true",331293,22,0,19755,747493,90335,35889,98937,220006,0,0,0,198577,21429,784256,19380,764876,"no","no","yes","no","no"
"TABOR COLLEGE INC","HILLSBORO","KS",1908,"true",24626877,26,17050,386647,43517704,3913358,254207,20459312,24626877,8594662,0,7120644,24446983,179894,44783188,8660598,36122590,"no","no","yes","yes","no"
"SAN JOAQUIN MEDICAL SCHOLARSHIP LOAN FUND","STOCKTON","CA",1962,"true",23687,9,0,0,984964,0,12989,10698,23687,0,0,0,41141,-17454,967510,0,967510,"no","no","no","no","no"
"Abilene Better Business Bureau Inc","Abilene","TX",1969,"",251607,25,0,11785,302933,4396,959,221480,251607,0,0,127156,243693,7914,232994,15932,217062,"no","no","yes","yes","no"
"CHILD ASSAULT PREVENTION OF MONMOUTH COUNTY INC","ABERDEEN","NJ",1987,"true",107822,6,0,0,19700,55323,0,52499,107822,0,0,106280,116478,-8656,11044,1025,10019,"no","no","no","","no"
"INFORMATION TECHNOLOGY AND INNOVATION FOUNDATION","WASHINGTON","DC",2006,"true",3741819,27,0,0,4461136,3490380,213935,37500,3741819,0,0,2491944,3895769,-153950,5098690,1685588,3413102,"no","no","yes","yes","yes"
"Tuckahoe School District PTA","Eastchester","NY",1985,"true",78507,5,0,0,88141,10895,0,0,78507,0,0,0,58325,20182,108323,0,108323,"no","no","no","","no"
"BELLEFONTAINE LODGE NO 2563 LOYAL ORDER","BELLEFONTAINE","OH",2000,"",340289,12,0,0,116396,4000,0,332533,213350,4500,0,46673,200964,12386,138421,0,138421,"no","no","yes","yes","yes"
"CULVER CITY SENIOR CITIZEN HOUSING CORP","LOS ANGELES","CA",1983,"true",670933,7,0,0,2665647,473053,127,192552,670933,0,0,0,790314,-119381,2525004,6393805,-3868801,"yes","no","yes","yes","yes"
"HABITAT FOR HUMANITY INTERNATIONAL INC","LA GRANDE","OR",NA,"true",207051,7,0,0,448331,9617,31389,90883,157440,0,0,72795,140209,17231,465562,0,465562,"no","no","no","no","yes"
"CHILDTOWNEINC","CHURCHVILLE","PA",NA,"true",457589,2,0,0,229615,0,1882,438185,444382,0,0,302773,411763,32619,262750,116598,146152,"no","no","no","no","no"
"BITTERROOT PUBLIC LIBRARY FOUNDATION INC","HAMILTON","MT",NA,"true",204964,6,0,0,681687,82067,29669,74,115138,100,0,2601,26329,88809,774291,1,774290,"no","no","no","","no"
"TEXAS MUSIC EDUCATORS ASSOCIATION SYMPOSIUM FUND","AUSTIN","TX",1993,"true",200523,4,0,0,1359298,165386,35137,0,200523,178000,0,0,195752,4771,1416343,0,1416343,"no","no","no","","no"
"KANKAKEE VALLEY THEATRE ASSN","KANKAKEE","IL",1963,"true",217204,14,3500,0,365956,44714,568,168033,217204,0,0,0,205085,12119,378075,0,378075,"no","yes","yes","yes","no"
"PHILADELPHIA POLICE & FIRE PIPES & DRUMS","PHILADELPHIA","PA",1998,"true",133215,4,0,0,126178,129531,25,3659,101017,0,0,0,123891,-22874,103304,0,103304,"no","no","no","","no"
"DAY CARE CENTER OF NEW LONDON INC","New London","WI",1977,"true",551364,7,0,0,381444,14010,523,529004,548734,0,0,442835,554229,-5495,384020,20792,363228,"no","no","no","no","no"
"LANESBORO DEVELOPMENT CORPORATION","PITTSFIELD","MA",2006,"true",42276,4,0,0,820946,0,36,42240,42276,0,0,771,56643,-14367,799549,950709,-151160,"yes","no","yes","yes","yes"
"NIAGARA FALLS LITTLE THEATRE INC","TONAWANDA","NY",1946,"true",205590,12,0,0,101293,62070,947,142573,205590,0,0,0,187218,18372,126683,14467,112216,"no","yes","no","yes","no"
"Guides Trust Foundation Inc","Islamorada","FL",2003,"true",834340,9,0,2428,1405739,632744,58892,0,696684,547864,0,0,564838,131846,1574527,0,1574527,"no","no","no","no","no"
"WAPAKONETA MASONIC TEMPLE COMPANY","WAPAKONETA","OH",1970,"",54072,5,0,0,2086116,500,53572,0,54072,9507,0,0,27533,26539,2335327,0,2335327,"no","no","no","","no"
"Apprentice & Journeymen Training Fund of Flint Plumbing & Pipefitting Indus","Flushing","MI",1976,"true",607619,7,0,0,176625,0,3941,605263,607619,0,202674,132368,537045,70574,246621,4264,242357,"no","no","no","","no"
"HABITAT FOR HUMANITY OF KANAWHA AND PUTNAM COUNTY INC","CHARLESTON","WV",1988,"true",2263748,14,0,143794,3092561,335816,533928,475267,1375510,0,0,354322,1350329,25181,3027864,716980,2310884,"no","yes","yes","yes","no"
"EGG HARBOR TOWNSHIP HIGH SCHOOL CREW BOOSTER CLUB A NJ NON PROFIT CORPORATION","NORTHFIELD","NJ",2010,"true",79915,6,0,0,145605,18329,2,0,57564,0,0,0,58649,-1085,142171,0,142171,"no","no","no","no","no"
"SOUTH CAROLINA ASSOCIATION OF THE DEAF INC","WEST COLUMBIA","SC",1973,"true",147749,9,0,50,324579,141044,0,4260,147749,0,0,58444,122531,25218,350363,3673,346690,"no","no","yes","yes","no"
"JUNEAU LODGE NO 700 LOYAL ORDER OF MOOSE","jUNEAU","AK",1957,"",1356601,7,0,0,1553555,11479,312,1344810,1356601,24008,0,130864,1377017,-20416,1520611,749532,771079,"no","yes","no","","no"
"ALFOND YOUTH CENTER","WATERVILLE","ME",1996,"true",8384688,15,0,429307,20266793,7297621,249453,516851,8238630,37174,0,1085056,2502631,5735999,27171538,818331,26353207,"no","no","yes","yes","yes"
"Land O' Lakes Moose Lodge #1903","Land O Lakes","FL",1906,"",220738,10,0,0,321395,31450,54,189234,220738,833,0,0,174703,46035,356736,-6255,362991,"no","no","no","","no"
"INDEPENDENT ORDER OF ODD FELLOWS TEXAS GRAND LODGE","CORSICANA","TX",NA,"",13865514,21,1154171,0,22172650,53017,2509265,5196875,12931510,0,0,3482717,11804921,1126589,18993551,7645599,11347952,"no","yes","yes","yes","no"
"AMERICAN LEGION SEIFERT-BIANCHI POST 132","NEW ULM","MN",1926,"",540747,11,-13009,0,288665,23822,-37162,103089,173561,0,0,47869,211588,-38027,250672,1772,248900,"no","yes","no","","no"
"Assistance League of San Luis Obispo County","San Luis Obispo","CA",1991,"true",506157,8,0,115873,470686,463104,693,0,504255,0,0,0,558893,-54638,419690,17101,402589,"no","yes","yes","yes","yes"
"KANSAS UNIVERSITY PLASTIC SURGERY ASSOCIATION","KANSAS CITY","KS",NA,"true",0,3,0,0,23163,0,0,0,0,0,0,0,8460,-8460,0,0,0,"no","yes","yes","yes","yes"
"WHITE MARSH - WELCHES CREEK COMMUNITY VOLUNTEER FIRE DEPARTMENT","WHITEVILLE","NC",1979,"",71857,13,0,808,106704,70250,4,0,71857,0,0,0,82818,-10961,83323,159653,-76330,"no","no","no","","no"
"THE AIRLIE GARDENS FOUNDATION INC","WILMINGTON","NC",1999,"true",1111149,11,136854,128,3930298,16263,73999,945908,1067840,0,0,0,679943,387897,4548468,132074,4416394,"no","no","yes","yes","no"
"Family Meals Inc","Fort Pierce","FL",2012,"true",67851,5,0,15540,26969,67851,0,0,67851,0,0,0,79526,-11675,13044,0,13044,"no","no","yes","yes","no"
"FLORIDA RURAL REHABILITATION CORPORATION","GAINESVILLE","FL",1934,"",457686,8,0,0,8816972,0,2050,455636,457686,0,0,61219,87242,370444,9187416,0,9187416,"no","yes","yes","yes","yes"
"WFBG RADIO CHRISTMAS CAROL FOUNDATION","HOLLIDAYSBURG","PA",1985,"true",221956,6,0,48,678371,46708,28719,0,69352,62809,0,0,72917,-3565,674806,0,674806,"no","no","no","","no"
"WOLVERINE HOOSIER ATHLETIC CONFERENCE INC","Grand Rapids","MI",1995,"true",201726,12,0,0,73031,156600,27,45099,201726,0,0,89368,196902,4824,77855,0,77855,"no","no","no","","no"
"SHISHU BHARATI SCHOOL INC","BELMONT","MA",1983,"true",325461,64,0,0,788413,7832,2791,314838,325461,0,0,0,315499,9962,800094,2200,797894,"no","no","yes","yes","yes"
"GOLDEN HAWKS CLUB INC","HOLLY SPRINGS","NC",2006,"true",292190,7,0,0,58986,27597,0,0,268668,4000,0,0,250364,18304,91384,15766,75618,"no","no","no","","no"
"AMERICAN-RUSSIAN BUSINESS COUNCIL","SHERMAN OAKS","CA",1994,"",556106,3,0,0,NA,556106,0,0,556106,0,0,0,534729,21377,21377,0,21377,"no","yes","no","","yes"
"LOUISIANA SOCIETY OF PROFESSIONAL SURVEYORS","BATON ROUGE","LA",NA,"",137335,14,0,0,255285,58595,50,78212,137335,0,0,34446,78007,59328,316270,547,315723,"no","yes","yes","yes","yes"
"BETHANY LAND TRUST INC C/O PETER SIMON TREASURER","BETHANY","CT",1968,"true",54205,11,0,0,856802,45882,7823,0,54205,0,0,0,8488,45717,902519,0,902519,"no","yes","yes","yes","yes"
"FORT PITT SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION","PITTSBURGH","PA",1892,"true",131144,4,0,0,457900,3122,35651,0,42355,0,0,12180,45794,-3439,455573,212,455361,"no","yes","no","","no"
"COMMONWEALTH BALLET CO INC","ACTON","MA",1993,"true",211572,14,0,0,176752,3931,552,185156,191874,0,0,21188,188773,3101,179853,0,179853,"no","no","no","","no"
"YOUTH EXPLORING ADVENTURE INC","ANCHORAGE","AK",1983,"true",2495591,13,46456,12820,666511,35195,204,1189600,1489106,0,0,717617,1540617,-51511,618762,92622,526140,"no","no","yes","no","no"
"AMERICAN LEGION POST 57","OWOSSO","MI",1920,"",112426,9,8017,0,895369,826,23030,9660,53486,4594,0,0,64691,-11205,884164,0,884164,"no","no","yes","yes","yes"
"BONITA WONDER GARDENS INC","BONITA SPRINGS","FL",2013,"true",838941,17,0,14986,3416738,379615,0,265478,730199,0,0,253584,776011,-45812,306832,6816,300016,"no","yes","yes","no","no"
"NORTHERN BAY AMBULANCE & RESCUE","PINCONNING","MI",1969,"true",444356,8,0,0,160027,0,13,444343,444356,0,0,272135,427324,17032,163763,4611,159152,"no","no","yes","yes","yes"
"Shepherds Staff Mission Fac Inc","Albuquerque","NM",2001,"true",9491187,7,0,0,2888703,9483248,7939,0,9491187,0,0,7529261,9214675,276512,3173222,1150,3172072,"no","no","no","no","no"
"NORTH CENTRAL MASS YOUTH HOCKEY INC","GARDNER","MA",NA,"true",208050,9,0,0,120300,0,149,171967,193074,0,0,0,215267,-22193,130516,30909,99607,"no","no","no","","no"
"FLORIDA TRAPSHOOTERS ASSOCIATION INC","MILTON","FL",1997,"",60643,23,0,0,111754,425,232,59986,60643,0,0,9300,60678,-35,111719,0,111719,"no","no","no","","no"
"POSITIVE PARENTING AT TRINITY","DAVENPORT","IA",1994,"true",614690,6,0,0,320829,123018,386,446204,614690,0,0,465266,635472,-20782,289871,806,289065,"no","no","no","no","no"
"BENEVOLENT & PROTECTIVE ORDER OF THE ELKS LODGE NO 2472","KEIZER","OR",1971,"",3581724,12,0,0,1090909,5480,121,181834,683396,10300,0,157586,662633,20763,1101171,328466,772705,"no","yes","yes","yes","yes"
"BENEVOLENT AND PROTECTIVE ORDER OF","Nevada City","CA",1979,"",281591,10,0,0,516394,77986,1166,0,179350,0,0,10833,195856,-16506,497189,54129,443060,"no","yes","yes","no","no"
"EMPORIA-GREENS CHAMBER OF COMMERCE","EMPORIA","VA",NA,"",109603,14,0,4658,124168,58417,323,50863,109603,0,0,42841,106755,2848,127000,275,126725,"no","no","no","","no"
"BENEVOLENT PROTECTIVE ORDER OF ELKS 680 CADILLAC","CADILLAC","MI",1910,"",206902,5,0,0,88900,37589,3,0,137315,110,0,38413,121684,15631,115102,33954,81148,"no","yes","yes","no","no"
"BERRY MANOR","JASPER","AL",NA,"true",84361,6,0,0,632926,36928,7,47426,84361,0,0,10807,105809,-21448,610813,1063719,-452906,"no","no","yes","no","no"
"HANDS OF WYOMING COUNTY","TUNKHANNOCK","PA",2005,"true",537819,16,0,0,137106,537462,177,0,537514,0,0,330078,503112,34402,169419,5014,164405,"no","no","yes","yes","no"
"WELLESLEY HILLS WOMAN'S CLUB SCHOLARSHIP TRUST","WELLESLEY HILLS","MA",1953,"true",352514,3,0,0,316815,75,77091,0,77166,340300,0,0,348475,-271309,16964,16964,0,"no","no","no","","no"
"WORD OF LIFE","ANN ARBOR","MI",1991,"true",1024343,6,0,70911,795898,823624,-24047,215273,1011953,136411,0,405940,1011840,113,682474,14074,668400,"no","no","no","","no"
"I CARE INCORPORATED","STATESVILLE","NC",1965,"true",3897455,18,0,0,468509,3877983,318,16426,3897455,0,0,2393009,3780110,117345,684006,331511,352495,"no","no","yes","yes","yes"
"BENEVOLENT AND PROTECTIVE ORDER OF ELKS LYNDON LODGE 2052","LOUISVILLE","KY",NA,"",269991,13,-7843,0,520093,11224,3470,6105,133658,24503,0,18630,140798,-7140,528696,16443,512253,"no","no","yes","no","no"
"FRATERNAL ORDER OF EAGLES DAYTONA BEACH SHORES AERIE 4469","DAYTONA BEACH SHORES","FL",2004,"",616293,8,0,0,580849,52586,0,353313,469840,1955,0,57880,430819,39021,611810,320021,291789,"no","no","no","","no"
"SKILLS FOUNDATION INC","STATE COLLEGE","PA",1990,"true",161988,7,0,0,1224865,37531,54322,0,115458,0,0,0,70030,45428,1391633,427638,963995,"no","no","yes","yes","yes"
"QUEENSBORO ELKS LODGE 878","ELMHURST","NY",2001,"",483986,9,0,0,3171418,234759,110948,0,388524,7139,0,50671,158558,229966,3341081,7840,3333241,"no","yes","yes","yes","yes"
"LAKE ARROWHEAD COUNTRY CLUB","LAKE ARROWHEAD","CA",1978,"",4271205,13,217978,0,6649378,0,0,2942908,3785806,0,0,2430803,4324630,-538824,6418766,627360,5791406,"no","yes","yes","yes","yes"
"DEPARTMENT OF LABOR FITNESS ASSOCIATION","WASHINGTON","DC",1999,"",253552,8,0,0,395752,0,475,195672,253552,0,0,161993,247125,6427,397355,1133,396222,"no","no","no","","no"
"ANTIOCH HILLCREST TERRACE INC","OAKLAND","CA",1996,"true",560336,5,0,0,4260447,0,1766,553229,560336,0,0,132046,644473,-84137,4151562,6607715,-2456153,"yes","no","yes","yes","yes"
"ROTARY INTERNATIONAL District 6080","Springfield","MO",1999,"",267280,5,0,0,230066,214078,121,53081,267280,176146,0,0,295943,-28663,205071,13320,191751,"no","no","no","","no"
"FLAGLER PLAYHOUSE INC","BUNNELL","FL",1978,"true",222963,10,0,0,1257807,20615,152,199146,222963,324,0,0,170670,52293,1316698,0,1316698,"no","no","no","","no"
"DISCIPLES HOUSING INC CITRUS GARDENS","ORLANDO","FL",1998,"true",350923,7,0,0,2565322,185725,1155,164043,350923,0,0,85366,425571,-74648,2502915,46894,2456021,"yes","no","yes","yes","yes"
"UNITED FOOD AND COMMERCIAL WORKERS LOCAL 1473","MILWAUKEE","WI",2006,"",4320020,22,0,0,1817719,0,1099,4259070,4284124,0,0,1890774,4567653,-283529,1536471,25949,1510522,"no","yes","no","","no"
"ST PATRICKS CEMETERY ASSOCIATION","ONEIDA","NY",NA,"true",162478,7,0,0,510361,0,26955,27210,54165,0,0,0,40993,13172,523533,0,523533,"no","no","no","no","no"
"PHI GAMMA DELTA FRATERNITY PI DEUTERON CHAPTER","LAWRENCE","KS",1881,"",838484,5,0,0,7320,0,0,838484,838484,0,0,44070,831644,6840,14160,0,14160,"no","yes","no","","no"
"IRONWORKERS LOCAL 518 BS8W 518","ST LOUIS","MO",1937,"",216122,13,0,0,152138,0,225,121998,216122,0,24666,69478,237222,-21100,125013,4835,120178,"no","yes","no","","no"
"ROEBUCK ELKS LODGE NO 79","BIRMINGHAM","AL",1967,"",70886,14,4401,0,385848,28046,536,10372,62382,0,0,0,100515,-38133,351351,9904,341447,"no","yes","no","","no"
"CLOVERLEAF AREA ECUMENICAL ASSISTANCE PROGRAM","PITTSBURGH","PA",1983,"true",72651,9,0,0,149853,72624,27,0,72651,0,0,18210,80094,-7443,142713,1357,141356,"no","no","yes","yes","no"
"ANCIENT FREE ACCEPTED MASONS OF TX","GAINESVILLE","TX",NA,"",48373,4,0,0,942204,642,19011,7715,19368,0,0,14859,27152,-7784,934420,0,934420,"no","no","no","no","no"
"VERDE VALLEY FAIR ASSOCIATION","COTTONWOOD","AZ",1948,"true",808806,5,12417,0,543863,64265,0,620283,788267,0,0,136161,735086,53181,599782,-262,600044,"no","no","no","no","no"
"TEXAS PYTHIAN HOME INC","WEATHERFORD","TX",1909,"true",2999199,12,0,4890,12430615,393288,-174593,0,1798860,0,0,784592,1567027,231833,14094539,52115,14042424,"no","yes","yes","no","no"
"THE NEW YORK CONCRETE CONSTRUCTION INSTITUTE INC","NEW YORK","NY",1968,"",81212,1,0,0,108688,0,179,81033,81212,0,0,0,3174,78038,178043,262956,-84913,"no","no","no","","no"
"VILLAGE IMPROVEMENT ASSOCIATION INC","REHOBOTH BEACH","DE",1909,"true",206465,13,0,0,202342,47366,1182,30242,137198,0,0,0,118079,19119,221461,6000,215461,"no","no","no","","no"
"PRESBYTERIAN CEMETERY OF THE CITY OF LYNCHBURG","LYNCHBURG","VA",NA,"",108654,10,0,0,364934,15539,20205,35170,70914,0,0,27537,97575,-26661,342151,23493,318658,"no","no","no","","no"
"Children Awaiting ParentsInc","Rochester","NY",1975,"true",1468450,23,0,45112,851914,424415,3317,19750,446345,0,0,366682,507405,-61060,809168,43005,766163,"no","no","yes","yes","yes"
"SO CALIFORNIA ELEVATOR CONSTRUCTORS","Glendora","CA",2005,"",426090,8,0,0,731211,425687,403,0,426090,0,0,150861,218102,207988,938299,2521,935778,"no","no","no","","no"
"LOCAL 17 SHEET METAL APPRENTICESHIP FUND CO GEORGE P HAYES","PROVIDENCE","RI",NA,"true",189384,3,0,0,916878,0,0,189384,189384,0,0,58920,128535,60849,955790,167494,788296,"no","no","no","no","no"
"HERMITAGE CAPITAL AND RESERVE CORPORATION","GLEN ALLEN","VA",2013,"true",177102,4,0,0,7487596,0,177102,0,177102,0,0,0,101,177001,7524159,0,7524159,"no","yes","no","","no"
"The National Society of the Colonial Dames of America in the State of IL","Chicago","IL",1896,"true",170987,25,0,0,1210486,6370,89115,52043,148805,8200,0,0,91485,57320,1267806,0,1267806,"no","yes","yes","no","no"
"Insure the Uninsured Project","Sacramento","CA",2010,"true",1687153,10,0,94444,906023,1465150,0,222003,1687153,0,0,788972,1234418,452735,1379168,45223,1333945,"no","no","yes","yes","yes"
"LAKE WAUBEEKA ASSOCIATION","DANBURY","CT",1951,"",851176,11,0,0,3284456,0,3600,847576,851176,0,0,193959,805678,45498,3208777,1314103,1894674,"no","yes","no","","no"
"North Florida Medical Centers Inc","Tallahassee","FL",1978,"true",13220085,11,0,0,16339423,7003516,14893,6155912,13220085,0,0,8038598,12581301,638784,16516116,2898670,13617446,"no","no","yes","yes","yes"
"CHRISTIAN LIGHT PUBLICATIONS INC","HARRISONBURG","VA",1969,"true",8856299,10,0,0,16199628,141001,97962,0,4814551,0,0,2085749,4686381,128170,16369429,627968,15741461,"no","no","no","","no"
"PARTNERSHIP FOR BETTER HEALTH","CARLISLE","PA",2001,"true",14664587,12,0,30119,83084305,1523600,1410947,0,3007296,1857000,0,575160,2754951,252345,86746740,1381399,85365341,"no","no","yes","yes","yes"
"Great Feeder Canal Company Lmtd","Rigby","ID",2007,"",463941,10,0,0,1564896,0,6,463935,463941,0,0,15701,257170,206771,1772012,0,1772012,"no","no","no","","no"
"GRAND ISLAND SADDLE CLUB","GRAND ISLAND","NE",1945,"",1638312,7,168716,0,1454797,312340,9380,21364,1102979,0,0,489829,995832,107147,1564718,53642,1511076,"no","yes","no","","no"
"GREEN CHILDRENS HOUSE FOUNDATION INC","POMPANO BEACH","FL",2009,"true",384413,1,0,0,NA,0,0,384413,384413,0,0,183033,359345,25068,0,0,0,"no","yes","no","","no"
"POLK TRAINING CENTER INC","LAKE ALFRED","FL",1986,"true",285534,8,0,0,456087,24960,5,208615,279093,0,0,174791,320077,-40984,423361,46804,376557,"no","no","yes","no","no"
"QUINCY LODGE OF ELKS 943 INC","QUINCY","MA",1904,"",1985803,11,419805,0,2919929,196710,920,0,1005049,0,0,438595,1021786,-16737,2883638,2077719,805919,"no","yes","no","","no"
"SEVERNA PARK BPOE 2482 INC","SEVERNA PARK","MD",1972,"",665270,15,0,0,314504,39447,10,623815,665270,29903,0,62277,645487,19783,323444,248476,74968,"no","yes","yes","yes","yes"
"AMYOTROPHIC LATERAL SCLEROSIS ASSN","WASHINGTON","DC",1985,"true",36510448,23,0,4257115,110397924,23216448,1546338,72600,24669735,22156243,0,7936521,37818211,-13148476,99633005,3185115,96447890,"no","no","yes","yes","yes"
"NATIONAL COTTONSEED PRODUCTS ASSOCIATION INC","TIFTON","GA",1897,"",379342,8,0,0,2022059,0,127868,51884,179752,0,0,0,106398,73354,2125464,0,2125464,"no","no","no","no","no"
"GRASS LAKE HUNTING & FISHING CLUB INC","CUSTER","MI",1950,"",109497,8,5625,0,327805,0,2881,103262,109497,0,0,0,100135,9362,328543,16626,311917,"no","no","no","","no"
"CLINICA HOLDING COMPANY","LAFAYETTE","CO",2017,"true",0,5,0,0,NA,0,0,0,0,0,0,0,22,-22,43012636,43004732,7904,"yes","yes","yes","yes","yes"
"MINNESOTA PIPE TRADES ASSOCIATION","DULUTH","MN",1980,"",2961783,13,0,0,2158367,777547,1919,2141069,2961783,0,0,1530826,2041225,920558,3078925,0,3078925,"no","no","yes","yes","yes"
"SENIOR CITIZENS BUILDING CORPORATION","NASHVILLE","TN",1970,"true",1466877,8,0,0,4183888,0,12901,0,415345,0,0,0,0,415345,4183678,293409,3890269,"no","no","yes","yes","no"
"MEDIA CHILDREN'S HOUSE","ASTON","PA",1975,"true",734914,2,0,0,457482,0,0,734914,734914,0,0,389181,584969,149945,580992,76481,504511,"no","no","no","","no"
"ZIA THERAPY CENTER INC","ALAMOGORDO","NM",1966,"true",4732264,11,0,0,1521478,61997,1853,4633704,4732264,0,0,2954733,4558043,174221,1699376,145456,1553920,"no","no","yes","no","yes"
"INDIANA MASONIC HOME FOUNDATION INC","INDIANAPOLIS","IN",1935,"true",60057191,12,0,378357,94758755,2477727,9555175,0,12036690,15654616,0,384276,16934424,-4897734,100324079,12713275,87610804,"no","no","yes","yes","yes"
